group,overtime_n,overtime_leavers,overtime_rate,overtime_ci_low,overtime_ci_high,no_overtime_n,no_overtime_leavers,no_overtime_rate,no_overtime_ci_low,no_overtime_ci_high,difference,ci_low,ci_high,minimum_expected,sparse_expected,small_sample
1,156,82,0.5256410256410257,0.4476115428959003,0.6024380503637196,387,61,0.15762273901808785,0.1247062413905364,0.19726947531158104,0.3680182866229378,0.28049421064268193,0.45157233393557644,41.0828729281768,False,False
2,146,26,0.1780821917808219,0.12452458190809186,0.24814570080395848,388,26,0.06701030927835051,0.04613665997699602,0.09637367823161878,0.1110718825024714,0.04999303991712675,0.18417868472901577,14.217228464419476,False,False
3,63,13,0.20634920634920634,0.1247531961549383,0.32169814328613333,155,19,0.12258064516129032,0.07989666809809812,0.1835198173166213,0.08376856118791602,-0.018071959149522157,0.20676164697085864,9.247706422018348,False,False
4,33,3,0.09090909090909091,0.03140394152458163,0.23572605646469724,73,2,0.0273972602739726,0.0075457586796076545,0.09450148171690531,0.06351183063511831,-0.026175622995447637,0.20968308508784833,1.5566037735849056,True,False
5,18,3,0.16666666666666666,0.05836576805861449,0.39222038103915724,51,2,0.0392156862745098,0.010821083352867099,0.13216305655362262,0.12745098039215685,-0.015266566816005689,0.35478494517152026,1.3043478260869565,True,True
