group,overtime_n,overtime_leavers,overtime_rate,overtime_ci_low,overtime_ci_high,no_overtime_n,no_overtime_leavers,no_overtime_rate,no_overtime_ci_low,no_overtime_ci_high,difference,ci_low,ci_high,minimum_expected,sparse_expected,small_sample
Healthcare Representative,37,2,0.05405405405405406,0.014950976833157686,0.177046543508131,94,7,0.07446808510638298,0.03653858086656638,0.14581212236028016,-0.020414031052328918,-0.10177140502561331,0.10829416508913481,2.5419847328244276,True,False
Human Resources,13,5,0.38461538461538464,0.17709707797762575,0.644771084873343,39,7,0.1794871794871795,0.08977265473219115,0.3266804566188162,0.20512820512820515,-0.04929213293963433,0.48031847444876474,3.0,True,True
Laboratory Technician,62,31,0.5,0.37922741194566084,0.6207725880543392,197,31,0.15736040609137056,0.11312887527539578,0.21469914991075678,0.3426395939086294,0.20894685076926411,0.47125703574163913,14.841698841698841,False,False
Manager,27,4,0.14814814814814814,0.05915927776244331,0.3247868542781298,75,1,0.013333333333333334,0.002357551139048661,0.0717336555442157,0.1348148148148148,0.028374142668972674,0.31179419298653965,1.3235294117647058,True,True
Manufacturing Director,39,4,0.10256410256410256,0.0406133134466838,0.23578854462856524,106,6,0.05660377358490566,0.026197619617926084,0.11802350590949265,0.0459603289791969,-0.041276611539684246,0.18261056191881192,2.689655172413793,True,False
Research Director,23,1,0.043478260869565216,0.007716666143453135,0.20991155070258866,57,1,0.017543859649122806,0.003103664651408093,0.09290749178567684,0.02593440122044241,-0.05748363463613075,0.1929929514243012,0.575,True,True
Research Scientist,97,33,0.3402061855670103,0.25362262280369324,0.4389641330551148,195,14,0.07179487179487179,0.043245252723369966,0.11688965580899627,0.26841131377213856,0.17078829965113426,0.3712131276724344,15.613013698630137,False,False
Sales Executive,94,31,0.32978723404255317,0.24307493575749767,0.4298653455332409,232,26,0.11206896551724138,0.07763518159531319,0.15914023142971118,0.2177182685253118,0.11905354966148042,0.3235545282604544,16.43558282208589,False,False
Sales Representative,24,16,0.6666666666666666,0.46706316838131745,0.8202780967270223,59,17,0.288135593220339,0.188364996358223,0.4138084657293992,0.37853107344632764,0.14265986407047376,0.5616994207212059,9.542168674698795,False,True
