mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.028424739837646484,0.044298875692258086,0.003212165832519531,0.0005847468944239169,0.1,,"{'model__C': 0.1, 'model__class_weight': None}",0.7092211803622558,0.6269912193524148,0.6885521205243015,0.7427179195982796,0.6449527277303483,0.68248703351352,0.042113819648096455,1,0.7421909349667511,0.7661906095283952,0.7506397176256046,0.7397485704941831,0.7661480876164638,0.7529835840462795,0.011356674196353767
0.0065043926239013675,0.0002238338633675182,0.0028265953063964845,2.149768912601761e-05,0.1,balanced,"{'model__C': 0.1, 'model__class_weight': 'balanced'}",0.6822427290650317,0.5635963129653052,0.6658584562451304,0.725691343592223,0.6383355742324562,0.6551448832200293,0.053832277588400514,4,0.7308049091045471,0.7458661540669136,0.739652021721275,0.7242659016253062,0.7538261783278541,0.7388830329691792,0.010503042712217575
0.007495975494384766,6.342052515977083e-05,0.0027950763702392577,1.601392124326218e-05,1.0,,"{'model__C': 1.0, 'model__class_weight': None}",0.7225041364715155,0.5999964715581607,0.689583183463017,0.7343510157502718,0.6371834617758495,0.6767236538037629,0.05105412857393159,2,0.7562405312799311,0.7828896103517572,0.7660570409766914,0.7542068061111855,0.7868035375833731,0.7692395052605876,0.013415692659123655
0.007400321960449219,5.9241792575140213e-05,0.002869129180908203,9.059115425550877e-05,1.0,balanced,"{'model__C': 1.0, 'model__class_weight': 'balanced'}",0.6818651230196213,0.48859011641378614,0.6520329920012381,0.6650964912861852,0.6268576689154114,0.6228884783272484,0.0695139815302936,5,0.7235471090641776,0.7346465381624,0.7258267434633933,0.7132685461712719,0.7520989483080736,0.7298775770338632,0.013029783690277963
0.008002662658691406,0.00028655205977999636,0.002937126159667969,7.833919345683711e-05,10.0,,"{'model__C': 10.0, 'model__class_weight': None}",0.708378158277817,0.570058588864289,0.6783476527514031,0.7232994510069124,0.6303352124836974,0.6620838126768238,0.05591359179435,3,0.7571248292480469,0.7839353810350188,0.7671339893336433,0.758344625438856,0.7872723362684967,0.7707622322648124,0.012644803279037328
0.00985574722290039,0.00020397057103906793,0.0029853343963623046,7.664192830181782e-05,10.0,balanced,"{'model__C': 10.0, 'model__class_weight': 'balanced'}",0.6652652687122006,0.4597113877249893,0.6431586311435548,0.6695833956977748,0.6204220626230095,0.6116281491803057,0.07795634394726761,6,0.7201772459036753,0.7258203174941711,0.7179109122121371,0.7007627994100223,0.7446773213549013,0.7218697192749814,0.014140952051291612
