mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__class_weight,param_model__max_depth,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.20825839042663574,0.0005409293139180874,0.010506057739257812,0.00032075034063020364,,5,1,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 1}",0.5492478162886172,0.45638672332126035,0.6433287018930551,0.5745811005329715,0.47562763169226424,0.5398343947456337,0.06796034132946102,6,0.8497375456975911,0.8296252696015989,0.8521370872511336,0.8317523487491385,0.8410936925039495,0.8408691887606823,0.00911269644983703
0.20628972053527833,0.0027396985038944045,0.010226869583129882,7.909801456433109e-05,,5,5,"{'model__class_weight': None, 'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.5690251958271517,0.4476527142725047,0.6371582256685279,0.5613566993161851,0.5055761478881629,0.5441537965945065,0.06382012857751646,5,0.7769111938047711,0.7672299454041267,0.7775451466949297,0.7619653430002896,0.7732351805318186,0.7713773618871871,0.00596495629915775
0.29094724655151366,0.005077877237076877,0.01232447624206543,0.00029917014111533705,,,1,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 1}",0.583079044142253,0.432112357623056,0.6748756041832551,0.5618569029198068,0.5166414210770124,0.5537130659890767,0.07971208508890869,1,0.9999999999999999,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,1.0,1.3136335981433191e-16
0.26197333335876466,0.001031377790381347,0.01183457374572754,0.00024883048876617186,,,5,"{'model__class_weight': None, 'model__max_depth': None, 'model__min_samples_leaf': 5}",0.5748604184718467,0.4301801975987423,0.6665023083809947,0.5605793837810661,0.5302505933102947,0.5524745803085889,0.0761826200644692,2,0.945522505820591,0.930629860707837,0.95225406634247,0.9390823684166747,0.9400245607544349,0.9415026724084015,0.007183484557471711
0.21616268157958984,0.00230912527314206,0.010902309417724609,0.0002532392587157309,balanced,5,1,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 1}",0.5526707615928947,0.4126736495057158,0.6114777644430841,0.5804670550051265,0.5098547561807203,0.5334287973455083,0.06901019241155333,8,0.8459425163095855,0.8281501294016219,0.8496595102106662,0.8293996969983404,0.8359611678059446,0.8378226041452317,0.00864884265638914
0.20622196197509765,0.0030259988963767543,0.010212230682373046,8.676620440148328e-05,balanced,5,5,"{'model__class_weight': 'balanced', 'model__max_depth': 5, 'model__min_samples_leaf': 5}",0.5592743470656601,0.41769840765501115,0.6179088282385713,0.5839791452401835,0.5175993531435444,0.5392920162685941,0.06903971821098297,7,0.7973615587676733,0.7894857769634632,0.805934473988605,0.7850955737618538,0.7891410641499844,0.7934036895263159,0.0074193003669731005
0.2885255813598633,0.0032955634168441773,0.012791299819946289,0.000291576802539209,balanced,,1,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 1}",0.5674619736382125,0.4191380841232256,0.631767920820365,0.560503193251668,0.5419068034131495,0.5441555950493241,0.06945615304478785,4,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,8.599750569898517e-17
0.2583864688873291,0.014309275709898431,0.011821699142456055,0.00045266808185898333,balanced,,5,"{'model__class_weight': 'balanced', 'model__max_depth': None, 'model__min_samples_leaf': 5}",0.5630545565312164,0.42974920909067094,0.6254812247903033,0.5828807930276626,0.5207932105381,0.5443917987955906,0.06649062032113139,3,0.9704967303726986,0.9570267257506905,0.9829770040276911,0.971004381739243,0.9619056936246025,0.9686821071029852,0.008885916827008703
